Validator,PT_VERSION,2.5.0
Validator,ROCBLAS_VERSION,4.2.0-54f305c1-dirty
Validator,HIPBLASLT_VERSION,1000-e6da924d
Validator,ROCM_VERSION,6.2.0.0-66-98a50c5
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
GemmTunableOp_Half_TN,tn_16032_200_8192,Gemm_Rocblas_621282246,0.148747
GemmTunableOp_Half_TN,tn_7168_96_8192,Gemm_Hipblaslt_TN_90353,0.0581396
GemmTunableOp_Half_TN,tn_16032_72_8192,Gemm_Hipblaslt_TN_90719,0.0847097
GemmTunableOp_Half_TN,tn_16032_512_8192,Gemm_Hipblaslt_TN_90891,0.273861
GemmTunableOp_Half_TN,tn_8192_48_3584,Gemm_Rocblas_621282266,0.0291504
GemmTunableOp_Half_TN,tn_8192_128_3584,Gemm_Rocblas_621282195,0.0364867
GemmTunableOp_Half_TN,tn_8192_72_3584,Gemm_Hipblaslt_TN_90694,0.0337572
GemmTunableOp_Half_TN,tn_8192_160_3584,Gemm_Hipblaslt_TN_90721,0.0420928
GemmTunableOp_Half_TN,tn_7168_192_8192,Gemm_Hipblaslt_TN_90355,0.063839
GemmTunableOp_Half_TN,tn_8192_4096_3584,Gemm_Rocblas_621282449,0.385023
GemmTunableOp_Half_TN,tn_8192_200_3584,Gemm_Rocblas_621282210,0.0483551
GemmTunableOp_Half_TN,tn_8192_96_3584,Gemm_Rocblas_621282195,0.0362193
GemmTunableOp_Half_TN,tn_8192_248_3584,Gemm_Rocblas_621282262,0.0488266
GemmTunableOp_Half_TN,tn_2304_224_16384,Gemm_Hipblaslt_TN_88604,0.0623466
GemmTunableOp_Half_TN,tn_16384_512_2048,Gemm_Rocblas_621282251,0.0777018
GemmTunableOp_Half_TN,tn_16032_184_16384,Gemm_Hipblaslt_TN_90784,0.297683
GemmTunableOp_Half_TN,tn_16032_248_16384,Gemm_Hipblaslt_TN_89897,0.365968
GemmTunableOp_Half_TN,tn_16032_104_16384,Gemm_Hipblaslt_TN_90755,0.227798
GemmTunableOp_Half_TN,tn_16032_8_16384,Gemm_Hipblaslt_TN_25784,0.134112
GemmTunableOp_Half_TN,tn_7168_2048_8192,Gemm_Hipblaslt_TN_91072,0.377059
GemmTunableOp_Half_TN,tn_7168_16_8192,Gemm_Rocblas_621285089,0.0367677
